id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
11BKm0j4eYoCPPpCONAVwA,Bloody Mary,Lady Gaga,0.591,0.637,9,-6.365,0,0.03,0.0107,1.95e-06,0.113,0.432,99.998,4
3fl4zil6HJ0N1FL3YIRwdC,Tennessee Orange,Megan Moroney,0.38,0.488,9,-6.637,1,0.029,0.126,7.23e-06,0.115,0.268,156.031,3
7l6nGz4gp6HGs5Cvmdeqe4,Fight The Feeling,Rod Wave,0.634,0.538,0,-9.213,1,0.0603,0.0514,0.0,0.099,0.152,168.029,5
4w9soAM7IrmYDhSXLp14p6,Peaches,Jack Black,0.698,0.312,10,-10.9,0,0.0483,0.797,0.0,0.1,0.419,92.138,4
5m0yZ33oOy0yYBtdTXuxQe,Low Down,Lil Baby,0.962,0.619,10,-5.562,0,0.405,0.0354,0.0,0.083,0.154,127.958,4
4ZYAU4A2YBtlNdqOUtc7T2,Red Ruby Da Sleeze,Nicki Minaj,0.696,0.733,1,-6.181,1,0.256,0.115,0.0,0.111,0.292,98.355,4
2YVlDlk2zRceefo6XlC6DX,Ain't That Some,Morgan Wallen,0.641,0.803,6,-5.781,0,0.0286,0.00232,3.86e-06,0.361,0.671,121.086,4
2NbsBSshscKIPRG3kwBbfo,Never Felt So Alone,Labrinth,0.436,0.409,5,-4.438,1,0.0533,0.499,0.000166,0.38,0.363,98.357,3
6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter,0.74,0.697,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,4
03fs6oV5JAlbytRYf3371S,Everything I Love,Morgan Wallen,0.568,0.841,8,-3.802,1,0.0261,0.00514,0.000503,0.147,0.668,103.983,4
7phmBo7bB9I9YifAXqnlqV,I Wrote The Book,Morgan Wallen,0.692,0.808,2,-3.757,1,0.0396,0.0834,3.75e-05,0.0913,0.802,143.977,4
5jUOG0aeAofL5u3UWyrtDO,Need A Favor,Jelly Roll,0.504,0.771,6,-4.231,1,0.0319,0.0123,1.89e-05,0.078,0.555,157.985,4
0yUaLqhsVsguBpoOPL4cO7,In Ha Mood,Ice Spice,0.768,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,4
5wG3HvLhF6Y5KTGlK0IW3J,Trance,"Metro Boomin, Travis Scott & Young Thug",0.571,0.549,1,-7.38,0,0.404,0.18,0.0,0.168,0.447,119.497,4
58cMDjQSUdWJUgFmHxRhjt,ICU,Coco Jones,0.584,0.453,8,-6.682,1,0.0661,0.753,0.0,0.111,0.328,124.913,3
3kf0WdFOalKWBkCCLJo4mA,El Gordo Trae El Mando,Chino Pacas,0.736,0.8,7,-5.38,0,0.0525,0.179,0.0,0.0498,0.961,140.253,3
4P9Q0GojKVXpRTJCaL3kyy,All Of The Girls You Loved Before,Taylor Swift,0.718,0.467,2,-9.66,1,0.0398,0.707,6.92e-05,0.126,0.396,95.96,3
4iy69rTUn8cAY8Q8q9vfOw,Gold,Dierks Bentley,0.674,0.873,1,-4.256,1,0.0285,0.0482,0.0,0.18,0.946,115.01,4
